IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
JAN,1075102
STANISŁAW,940345
PIOTR,810379
ANDRZEJ,743547
KRZYSZTOF,732753
JÓZEF,688433
TOMASZ,579473
PAWEŁ,571975
MICHAŁ,557944
ADAM,486874
TADEUSZ,478307
MARCIN,474584
MAREK,455703
JERZY,450009
GRZEGORZ,425299
JAKUB,421168
HENRYK,399793
ZBIGNIEW,397368
ŁUKASZ,396548
KAZIMIERZ,384119
WOJCIECH,383709
MATEUSZ,382061
RYSZARD,366134
MARIAN,338826
DARIUSZ,318620
WŁADYSŁAW,314864
MARIUSZ,311069
FRANCISZEK,288832
ANTONI,288002
ROBERT,285198
MACIEJ,281416
RAFAŁ,275457
JACEK,264770
JANUSZ,260456
KAMIL,255292
ROMAN,247049
DAWID,238973
MIROSŁAW,235796
SZYMON,234636
EDWARD,225463
MIECZYSŁAW,222630
KACPER,220039
SŁAWOMIR,215782
JAROSŁAW,214761
WIESŁAW,213874
CZESŁAW,209217
BARTOSZ,203441
ZDZISŁAW,203422
STEFAN,201561
ARTUR,201523
KAROL,195235
ALEKSANDER,192812
SEBASTIAN,191388
DAMIAN,189076
PATRYK,182007
DANIEL,175294
PRZEMYSŁAW,172948
EUGENIUSZ,164327
ZYGMUNT,161694
FILIP,159028
LESZEK,157396
ADRIAN,150317
WALDEMAR,145367
ARKADIUSZ,144144
BOGDAN,142378
MIKOŁAJ,137731
DOMINIK,136855
WIKTOR,131748
BARTŁOMIEJ,127791
KRYSTIAN,116711
RADOSŁAW,107931
KONRAD,100929
BRONISŁAW,96735
HUBERT,93364
WACŁAW,92683
BOLESŁAW,90283
ZENON,89518
BOGUSŁAW,88729
WŁODZIMIERZ,87981
WITOLD,87051
LEON,86762
IGOR,83120
IRENEUSZ,79239
OSKAR,72186
SYLWESTER,71020
MAKSYMILIAN,68316
MARCEL,68300
JULIAN,63889
MIŁOSZ,59304
EDMUND,58417
IGNACY,55343
OLEKSANDR,51926
OLIWIER,49197
NIKODEM,48989
CEZARY,48953
ALAN,48016
NORBERT,45401
FELIKS,42948
LUDWIK,41865
GABRIEL,40317
LECH,40302
EMIL,36873
BERNARD,36788
LUCJAN,35616
SERHII,34825
BŁAŻEJ,34091
ERYK,33016
FABIAN,32763
ANDRII,32301
TYMOTEUSZ,31597
VOLODYMYR,30938
ALOJZY,30746
ALFRED,29173
TYMON,29070
ROMUALD,27365
SZCZEPAN,26390
WINCENTY,23798
DMYTRO,22966
IVAN,21541
REMIGIUSZ,21078
KSAWERY,20605
MYKOLA,19744
GERARD,19561
NATAN,19356
VITALII,19100
IHOR,18396
VASYL,18357
TEODOR,17835
LEONARD,17709
BORYS,17687
OLAF,17476
BOGUMIŁ,17366
YURII,17200
KAJETAN,16953
SEWERYN,16773
MAKSYM,16636
ALBERT,16482
JOACHIM,16141
OLEH,15907
LESŁAW,15694
BOHDAN,15619
KONSTANTY,15510
ADOLF,15282
ALFONS,15140
WALENTY,14941
KUBA,14720
VIKTOR,14645
GRACJAN,14419
MYKHAILO,14398
RUDOLF,14377
ERNEST,14333
TOBIASZ,14034
BENEDYKT,13503
HIERONIM,13105
BRUNO,13001
FLORIAN,11919
KORNEL,11280
JULIUSZ,11059
VLADYSLAV,11045
OLIVIER,10852
OLEKSII,10681
ZYGFRYD,10562
RAJMUND,10555
AUGUSTYN,10535
JĘDRZEJ,10333
ALEXANDER,10044
RUSLAN,10031
TEOFIL,9878
LEOPOLD,9426
ALEX,9330
ALBIN,9163
GUSTAW,9090
BRUNON,8638
ALEKSY,8511
DAVID,8460
KLAUDIUSZ,8303
PAVLO,8058
WILHELM,8042
FRYDERYK,7850
DENYS,7730
ERWIN,7703
ANATOLII,7694
ARTEM,7686
VADYM,7619
ALEKS,7565
DORIAN,7315
MARCELI,7264
WALERIAN,6881
YAROSLAV,6867
CYPRIAN,6797
PETRO,6792
OLIVER,6726
MARTIN,6618
NATANIEL,6512
YEVHEN,6398
HERBERT,6364
KLEMENS,6301
DENIS,6143
MICHAEL,5840
VALERII,5800
SERGIUSZ,5786
ALIAKSANDR,5760
BRAJAN,5745
ANTON,5604
YEVHENII,5591
SAMUEL,5578
TARAS,5556
MIESZKO,5473
ANDREI,5346
MILAN,5299
WALTER,4958
FERDYNAND,4893
KEVIN,4847
GINTER,4821
WAWRZYNIEC,4774
HELMUT,4754
IWO,4732
EMILIAN,4723
ANATOL,4719
ARIEL,4715
OLEG,4675
BENIAMIN,4649
VIACHESLAV,4640
IZYDOR,4522
BAZYLI,4470
ROLAND,4433
STANISLAV,4400
EDWIN,4346
KORDIAN,4327
OLGIERD,4283
LONGIN,4273
JEREMI,4115
SIARHEI,4104
KOSTIANTYN,3942
EMANUEL,3825
WERNER,3789
SERGII,3732
ARNOLD,3680
AMADEUSZ,3671
PATRICK,3552
MAXIMILIAN,3535
LECHOSŁAW,3528
DZMITRY,3473
STEPAN,3398
MANFRED,3333
THOMAS,3332
VALENTYN,3266
KEWIN,3244
VICTOR,3226
DIONIZY,3130
OSCAR,3129
EWALD,3060
ŁUCJAN,3050
MAURYCY,3035
NICOLAS,3034
NAZAR,3003
OLIWER,2993
HORST,2936
ILLIA,2869
BONIFACY,2832
ANDRIY,2772
GERHARD,2749
