Nawisko aktualne,Liczba
NOWAK,144488
KOWALSKI,93232
WIŚNIEWSKI,73212
WÓJCIK,66343
KOWALCZYK,65230
KAMIŃSKI,63017
LEWANDOWSKI,61821
ZIELIŃSKI,60861
DĄBROWSKI,60810
SZYMAŃSKI,59416
WOŹNIAK,59332
KOZŁOWSKI,50566
JANKOWSKI,45924
MAZUR,45428
KWIATKOWSKI,44052
WOJCIECHOWSKI,44022
KRAWCZYK,42526
KACZMAREK,41446
PIOTROWSKI,40829
GRABOWSKI,38765
ZAJĄC,37205
PAWŁOWSKI,37018
MICHALSKI,36420
KRÓL,36120
NOWAKOWSKI,35001
WRÓBEL,33833
WIECZOREK,33830
JABŁOŃSKI,33361
DUDEK,33061
ADAMCZYK,33009
MAJEWSKI,32751
NOWICKI,32017
OLSZEWSKI,31868
STĘPIEŃ,31589
MALINOWSKI,31337
JAWORSKI,31325
PAWLAK,30602
GÓRSKI,29993
WITKOWSKI,29633
SIKORA,29611
WALCZAK,29486
RUTKOWSKI,29098
BARAN,28881
MICHALAK,28502
SZEWCZYK,28180
OSTROWSKI,27721
TOMASZEWSKI,26601
PIETRZAK,26124
DUDA,26101
ZALEWSKI,26097
WRÓBLEWSKI,25733
JASIŃSKI,25491
MARCINIAK,25387
SADOWSKI,25068
ZAWADZKI,25059
BĄK,25035
JAKUBOWSKI,24924
WILK,23813
CHMIELEWSKI,23717
WŁODARCZYK,23676
BORKOWSKI,23252
SOKOŁOWSKI,22734
SZCZEPAŃSKI,22658
SAWICKI,22585
LIS,22332
KUCHARSKI,22052
MAZUREK,21472
KUBIAK,21428
WYSOCKI,21335
KALINOWSKI,21320
MACIEJEWSKI,21241
CZARNECKI,21136
KOŁODZIEJ,20442
KAŹMIERCZAK,20241
URBAŃSKI,20178
SOBCZAK,19334
KONIECZNY,19081
GŁOWACKI,18821
KRUPA,18707
WASILEWSKI,18623
ZAKRZEWSKI,18567
KRAJEWSKI,18490
ADAMSKI,18293
SIKORSKI,18269
MRÓZ,18212
LASKOWSKI,18104
GAJEWSKI,18075
ZIÓŁKOWSKI,18073
SZULC,17959
MAKOWSKI,17948
BARANOWSKI,17723
SZYMCZAK,17664
CZERWIŃSKI,17609
KACZMARCZYK,17601
PRZYBYLSKI,17580
BRZEZIŃSKI,17569
BŁASZCZYK,17416
ANDRZEJEWSKI,17398
BOROWSKI,17339
CIEŚLAK,17310
KOZAK,17113
KANIA,17101
CHOJNACKI,17051
GÓRECKI,17041
JANIK,16902
SZCZEPANIAK,16900
LESZCZYŃSKI,16570
LIPIŃSKI,16570
MUCHA,16558
KOZIOŁ,16453
WESOŁOWSKI,16452
KOWALEWSKI,16387
MIKOŁAJCZYK,16275
NOWACKI,16153
DOMAŃSKI,16151
JAROSZ,15857
CIESIELSKI,15821
MUSIAŁ,15804
KOWALIK,15773
ZIĘBA,15741
KOŁODZIEJCZYK,15579
MARKOWSKI,15452
KOPEĆ,15374
BRZOZOWSKI,15330
KUREK,15142
PIĄTEK,15134
ŻAK,15069
ORŁOWSKI,15025
PAWLIK,14955
TOMCZYK,14946
TOMCZAK,14940
KOT,14705
URBANIAK,14693
WAWRZYNIAK,14658
MARKIEWICZ,14521
WÓJTOWICZ,14490
WOLSKI,14380
KRUK,14270
POLAK,14247
CZAJKOWSKI,14244
STASIAK,14143
NAWROCKI,14124
SOWA,14089
STANKIEWICZ,13907
ŁUCZAK,13857
JASTRZĘBSKI,13813
KARPIŃSKI,13783
DZIEDZIC,13586
WIERZBICKI,13581
PIASECKI,13465
GAJDA,13337
KLIMEK,13290
BEDNAREK,13245
STEFAŃSKI,13098
URBAN,13065
JANICKI,13024
JÓŹWIAK,12964
BIELECKI,12927
DOMAGAŁA,12897
SOSNOWSKI,12829
MADEJ,12791
MAJCHRZAK,12791
MAJ,12658
MILEWSKI,12636
DOBROWOLSKI,12596
MAŁECKI,12564
KOWAL,12475
SKIBA,12468
LEŚNIAK,12438
ŚLIWIŃSKI,12433
SOCHA,12234
MAREK,12189
BEDNARCZYK,12038
WRONA,12010
KASPRZAK,11938
MATUSZEWSKI,11813
PAJĄK,11805
OLEJNICZAK,11763
WILCZYŃSKI,11625
RATAJCZAK,11594
ROMANOWSKI,11558
MICHALIK,11499
ŚWIĄTEK,11483
OWCZAREK,11460
KUROWSKI,11436
ORZECHOWSKI,11426
GRZELAK,11422
OLEJNIK,11291
ŁUKASIK,11249
SOBOLEWSKI,11066
ROGOWSKI,11064
MAZURKIEWICZ,11048
BUKOWSKI,11045
SROKA,11001
MATUSIAK,10982
KĘDZIERSKI,10969
BARAŃSKI,10961
KOSIŃSKI,10930
RYBAK,10866
CZAJKA,10802
KOZIEŁ,10744
SOBCZYK,10728
MARCINKOWSKI,10719
SKOWROŃSKI,10702
MARSZAŁEK,10700
ZYCH,10643
CHRZANOWSKI,10622
BEDNARSKI,10535
LISOWSKI,10514
BEDNARZ,10453
PLUTA,10419
KASPRZYK,10394
JANISZEWSKI,10392
ŚWIDERSKI,10380
KWIECIEŃ,10309
BIAŁEK,10285
MARCZAK,10266
KUCZYŃSKI,10258
MUSZYŃSKI,10257
JĘDRZEJEWSKI,10185
WITEK,10182
MORAWSKI,10177
CZECH,10172
PALUCH,10160
GRZYBOWSKI,10143
TUREK,10129
CZAJA,10104
ŻUKOWSKI,10017
DĘBSKI,10004
KACZOR,9984
CIEŚLIK,9981
MARZEC,9978
CHMIEL,9977
MAŁEK,9892
OSIŃSKI,9872
KUBICKI,9863
PIEKARSKI,9845
SZCZĘSNY,9746
KRZEMIŃSKI,9713
ŚLIWA,9682
JANOWSKI,9631
STEFANIAK,9618
PRZYBYSZ,9603
BIERNACKI,9592
MICHAŁOWSKI,9567
GOŁĘBIEWSKI,9554
KULESZA,9500
LECH,9487
SZYDŁOWSKI,9464
SMOLIŃSKI,9461
KACPRZAK,9438
LEWICKI,9412
CZYŻ,9396
STANISZEWSKI,9389
KUJAWA,9387
RAK,9377
MURAWSKI,9355
NIEMIEC,9336
AUGUSTYNIAK,9331
POPŁAWSKI,9302
RUDNICKI,9300
GÓRA,9279
PIETRZYK,9264
BANACH,9257
PIĄTKOWSKI,9238
ŻUREK,9233
SERAFIN,9165
GÓRNY,9114
MATYSIAK,9108
SOWIŃSKI,9088
STACHOWIAK,9088
GOŁĘBIOWSKI,9071
KARCZEWSKI,9053
PODGÓRSKI,9045
BANAŚ,9019
DROZD,9011
ZAWADA,8972
KLIMCZAK,8942
ROSIŃSKI,8921
ŻURAWSKI,8890
BIENIEK,8846
CYBULSKI,8817
GÓRKA,8817
GRUSZKA,8769
GODLEWSKI,8764
KUŚ,8694
PRZYBYŁA,8656
SKRZYPCZAK,8647
GROCHOWSKI,8616
CICHOŃ,8582
KOMOROWSKI,8579
CICHOCKI,8546
KRAWIEC,8525
PTAK,8519
PANEK,8504
SIWEK,8476
GIL,8448
KULIK,8403
NIEWIADOMSKI,8403
RÓŻAŃSKI,8367
MIELCZAREK,8351
WINIARSKI,8317
GRACZYK,8274
KONOPKA,8263
SŁOWIK,8220
GRZYB,8215
KRZYŻANOWSKI,8201
KŁOS,8199
SZCZEPANIK,8197
FILIPIAK,8186
ZARZYCKI,8162
STAŃCZYK,8122
ANTCZAK,8112
LEŚNIEWSKI,8100
TOKARSKI,8059
ZAREMBA,8040
SZYMCZYK,8020
MŁYNARCZYK,8014
KACZYŃSKI,7994
STRZELECKI,7992
MIKOŁAJCZAK,7989
CIEŚLA,7972
SKOWRON,7923
MAĆKOWIAK,7918
BUCZEK,7895
GĄSIOR,7864
JUREK,7824
JANUS,7818
BIERNAT,7817
SZOSTAK,7801
BARTKOWIAK,7787
JANIAK,7768
SZCZYGIEŁ,7747
BOGUSZ,7731
PAŁKA,7701
WĘGRZYN,7692
KULA,7685
KALETA,7659
GAWRON,7656
KOSTRZEWA,7654
FRĄCZEK,7651
DŁUGOSZ,7635
BANASIAK,7620
KUCHARCZYK,7617
BARTCZAK,7613
KSIĄŻEK,7607
RAKOWSKI,7606
KUBIK,7590
RÓŻYCKI,7551
SIENKIEWICZ,7541
RZEPKA,7516
KRÓLIKOWSKI,7476
GAWLIK,7429
BAGIŃSKI,7411
DOBOSZ,7364
MALEC,7361
ZARĘBA,7346
ŻEBROWSKI,7324
ROGALSKI,7321
TRZCIŃSKI,7321
ROGALA,7318
WITCZAK,7301
TKACZYK,7297
HAJDUK,7239
GAWROŃSKI,7217
KISIEL,7208
ROJEK,7194
GRZEGORCZYK,7156
RYBICKI,7138
CICHY,7136
TROJANOWSKI,7127
MIKULSKI,7123
WOLNY,7117
FRANKOWSKI,7093
MALISZEWSKI,7093
NAWROT,7022
WĄSIK,7019
DUDZIŃSKI,7018
RADOMSKI,7015
FRĄCKOWIAK,6993
LACH,6991
KACZOROWSKI,6948
BOREK,6931
FIJAŁKOWSKI,6893
GRZESIAK,6849
GAŁĄZKA,6847
BIAŁAS,6845
MIKA,6833
ŚLUSARCZYK,6821
BOGUCKI,6805
SOKÓŁ,6786
STEC,6780
PAWELEC,6778
WNUK,6766
CZYŻEWSKI,6763
ZABOROWSKI,6744
LIPSKI,6741
ROSIAK,6728
WOJTCZAK,6710
WIĘCKOWSKI,6709
KMIECIK,6707
WALKOWIAK,6701
KWAŚNIEWSKI,6691
DĄBEK,6671
WÓJCICKI,6663
BOCHENEK,6643
KOŁODZIEJSKI,6589
BURZYŃSKI,6555
DRZEWIECKI,6546
JANAS,6545
PIETRAS,6532
KRYSIAK,6522
JUSZCZAK,6509
ZYGMUNT,6505
LASOTA,6494
ŻMUDA,6485
CEBULA,6482
KARWOWSKI,6481
MROCZEK,6478
SKRZYPEK,6436
CYGAN,6434
JĘDRZEJCZYK,6430
WROŃSKI,6414
PASTERNAK,6397
DĘBOWSKI,6388
FILIPEK,6386
KARAŚ,6382
MISIAK,6379
GAWEŁ,6373
GRUSZCZYŃSKI,6373
ŁUKASIEWICZ,6368
FLIS,6362
MASŁOWSKI,6355
ŁAPIŃSKI,6345
SZAFRAŃSKI,6343
ZAJĄCZKOWSKI,6326
BUJAK,6324
KAŁUŻA,6324
PIÓRKOWSKI,6310
PIWOWARCZYK,6286
BIELAWSKI,6279
FALKOWSKI,6271
JAGODZIŃSKI,6240
BOROWIEC,6230
JAGIEŁŁO,6226
JĘDRZEJCZAK,6217
KRAKOWIAK,6217
CZAPLA,6216
SKIBIŃSKI,6212
KAŁUŻNY,6200
GUTOWSKI,6194
ZIELONKA,6193
ŁUKASZEWSKI,6181
KUBACKI,6177
LISIECKI,6162
WILCZEK,6132
SOŁTYS,6102
DROZDOWSKI,6092
SOBIERAJ,6091
STELMACH,6090
WOŹNY,6072
JURKIEWICZ,6071
URBAŃCZYK,6057
DZIUBA,6053
TARNOWSKI,6052
SZCZEŚNIAK,6051
JAKUBIAK,6046
SKOCZYLAS,6045
ANDRZEJCZAK,6042
RACZYŃSKI,6042
TWARDOWSKI,6038
PILARSKI,6032
STRZELCZYK,6032
NOWACZYK,6029
PAKUŁA,6021
WASIAK,6016
KUBICA,6002
BARTOSIK,5996
CISZEWSKI,5980
GĄSIOROWSKI,5976
KĘDZIORA,5966
DUBIEL,5906
MIERZEJEWSKI,5898
BOBER,5887
GOŁĄB,5863
BILSKI,5862
GUZIK,5848
MAJCHER,5823
